School Name,District,Latitude,Longitude,Nearest Conflict ID,Distance (km),Risk Level,Conflict Side A,Conflict Side B
Ceelgardi primary school,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Gaxandhaale primary schol,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Mindhiciraan primary school,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Bitale,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Docol,Gaalkacyo,6.9545,47.31886,528512,17.84,Low,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
Qorqora,Gaalkacyo,6.638229,47.514021,468998,17.27,Low,Government of Somalia,Al-Shabaab
Horumar,Gaalkacyo,6.787934,47.412085,468998,2.9,High,Government of Somalia,Al-Shabaab
Xaarxaar,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Ahmed Binu Hanbal,Gaalkacyo,6.607286,46.668085,528512,65.83,Low,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
Waberi,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Dugsiga H/DHexe ee Alanley,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Mustaqbal Primary and Secondary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Dugsiga H/DHexe ee Xaarxaar,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Howlwadag Primary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Amoud Primary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Hormar Primary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Galkayo Primary school,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Deaf Primary School Galkacyo,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Gaheyr Primary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Mudug Primary School,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Agaran,Gaalkacyo,7.72972,49.06849,509170,143.07,Low,Government of Somalia,Al-Shabaab
Bardacad,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Ahmed guray,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
NEZDO,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Orshe,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Tayo,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Ummadda,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Wadajir,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Danwadag,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Shamsul Hudda,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Ibnu Abas,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Allanley,Gaalkacyo,7.14624,47.65646,509170,41.25,Low,Government of Somalia,Al-Shabaab
Qorqora,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Bandarqali,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Amoud,Gaalkacyo,6.651578,47.22737,468998,26.03,Low,Government of Somalia,Al-Shabaab
Bitaale,Jariiban,7.1722,49.47342,509170,163.71,Low,Government of Somalia,Al-Shabaab
Jilable,Jariiban,7.21345,48.85104,509170,96.86,Low,Government of Somalia,Al-Shabaab
Madina Primary School,Gaalkacyo,6.774621,47.436126,468998,0.8,High,Government of Somalia,Al-Shabaab
mudug Primary School,Gaalkacyo,6.774621,47.436126,468998,0.8,High,Government of Somalia,Al-Shabaab
israac Primary School,Gaalkacyo,6.765203,47.431399,468998,0.51,High,Government of Somalia,Al-Shabaab
Ibnu Cabaas Primary School,Gaalkacyo,6.766947,47.417517,468998,1.5,High,Government of Somalia,Al-Shabaab
Imaamu Shafici Primary School,Gaalkacyo,6.766947,47.417517,468998,1.5,High,Government of Somalia,Al-Shabaab
Agoonta Qaran Primary School,Gaalkacyo,6.771411,47.413778,468998,1.89,High,Government of Somalia,Al-Shabaab
Bahrul Ulum Primary School,Galdogob,7.06284,47.13276,498620,0.64,High,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
Herajale Primary School,Galdogob,7.06284,47.13276,498620,0.64,High,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
Imaamu Shaafici Primary School,Galdogob,7.06284,47.13276,498620,0.64,High,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
Midnimo primary school,Galdogob,6.949378,47.306352,528512,16.44,Low,Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod)
