School Name,District,Latitude,Longitude,Nearest Conflict ID,Year of Conflict,Distance (km),Risk Level
Ceelgardi primary school,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Gaxandhaale primary schol,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Mindhiciraan primary school,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Bitale,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Docol,Gaalkacyo,6.9545,47.31886,528512,2024,17.84,Medium
Qorqora,Gaalkacyo,6.638229,47.514021,468998,2023,17.27,Medium
Horumar,Gaalkacyo,6.787934,47.412085,468998,2023,2.9,High
Xaarxaar,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Ahmed Binu Hanbal,Gaalkacyo,6.607286,46.668085,528512,2024,65.83,Low
Waberi,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Dugsiga H/DHexe ee Alanley,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Mustaqbal Primary and Secondary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Dugsiga H/DHexe ee Xaarxaar,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Howlwadag Primary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Amoud Primary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Hormar Primary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Galkayo Primary school,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Deaf Primary School Galkacyo,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Gaheyr Primary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Mudug Primary School,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Agaran,Gaalkacyo,7.72972,49.06849,509170,2024,143.07,Low
Bardacad,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Ahmed guray,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
NEZDO,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Orshe,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Tayo,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Ummadda,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Wadajir,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Danwadag,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Shamsul Hudda,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Ibnu Abas,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Allanley,Gaalkacyo,7.14624,47.65646,509170,2024,41.25,Low
Qorqora,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Bandarqali,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Amoud,Gaalkacyo,6.651578,47.22737,468998,2023,26.03,Low
Bitaale,Jariiban,7.1722,49.47342,509170,2024,163.71,Low
Jilable,Jariiban,7.21345,48.85104,509170,2024,96.86,Low
Madina Primary School,Gaalkacyo,6.774621,47.436126,468998,2023,0.8,High
mudug Primary School,Gaalkacyo,6.774621,47.436126,468998,2023,0.8,High
israac Primary School,Gaalkacyo,6.765203,47.431399,468998,2023,0.51,High
Ibnu Cabaas Primary School,Gaalkacyo,6.766947,47.417517,468998,2023,1.5,High
Imaamu Shafici Primary School,Gaalkacyo,6.766947,47.417517,468998,2023,1.5,High
Agoonta Qaran Primary School,Gaalkacyo,6.771411,47.413778,468998,2023,1.89,High
Bahrul Ulum Primary School,Galdogob,7.06284,47.13276,498620,2023,0.64,High
Herajale Primary School,Galdogob,7.06284,47.13276,498620,2023,0.64,High
Imaamu Shaafici Primary School,Galdogob,7.06284,47.13276,498620,2023,0.64,High
Midnimo primary school,Galdogob,6.949378,47.306352,528512,2024,16.44,Medium
